# Civ2.exe Function Index
# Generated by Ghidra headless decompiler
# Format: Address  Size  Name
# Total: 5149 decompiled, 1975 skipped (thunks/externals), 0 errors

0x00406A80      26  FID_conflict:_$E31
0x00406A9A      26  FUN_00406a9a
0x00406AB4      29  FUN_00406ab4
0x00406AD1      26  FUN_00406ad1
0x00406AEB      23  FUN_00406aeb
0x00406B02      38  FUN_00406b02
0x00406B28      36  FUN_00406b28
0x00406B4C     620  FUN_00406b4c
0x00406DB8     169  FUN_00406db8
0x00406E61     425  FUN_00406e61
0x0040701E     211  FUN_0040701e
0x004070F1     587  FUN_004070f1
0x0040733C     416  FUN_0040733c
0x004074DC     380  FUN_004074dc
0x00407658     510  FUN_00407658
0x0040785B     255  FUN_0040785b
0x0040795A      38  FUN_0040795a
0x00407980      38  FUN_00407980
0x004079A6     395  FUN_004079a6
0x00407B31      33  FUN_00407b31
0x00407F90      27  FUN_00407f90
0x00407FC0      28  FUN_00407fc0
0x00407FF0      21  FUN_00407ff0
0x00408010      43  FUN_00408010
0x00408050      43  FUN_00408050
0x00408090      37  FUN_00408090
0x004080C0      37  FUN_004080c0
0x004080F0      43  FUN_004080f0
0x00408130      45  FUN_00408130
0x00408170      45  FUN_00408170
0x004081B0      45  SetDlgCtrlID
0x004081F0      45  tie
0x00408230      45  FUN_00408230
0x00408270      45  FUN_00408270
0x004082B0      45  FUN_004082b0
0x004082F0      45  FUN_004082f0
0x00408330      45  FUN_00408330
0x00408370      45  FUN_00408370
0x004083B0      41  FUN_004083b0
0x004083F0      34  FUN_004083f0
0x00408420      43  FUN_00408420
0x00408460      32  FUN_00408460
0x00408490     180  FUN_00408490
0x00408580      43  FUN_00408580
0x004085C0      36  EnableStackedTabs
0x004085F0      33  FUN_004085f0
0x00408620      38  FUN_00408620
0x00408650      37  FUN_00408650
0x00408680      42  FUN_00408680
0x004086C0      48  FUN_004086c0
0x00408700      63  FUN_00408700
0x00408750      34  FUN_00408750
0x00408780      50  FUN_00408780
0x004087C0      80  FUN_004087c0
0x00408830      67  FUN_00408830
0x00408873     144  FUN_00408873
0x00408903      73  FUN_00408903
0x0040894C      51  FUN_0040894c
0x0040897F     948  FUN_0040897f
0x00408D33    6004  FUN_00408d33
0x0040A54E      12  FUN_0040a54e
0x0040A564      14  FUN_0040a564
0x0040A572     497  FUN_0040a572
0x0040A763     193  FUN_0040a763
0x0040A824     110  FUN_0040a824
0x0040A892      73  FUN_0040a892
0x0040A8DB      84  FUN_0040a8db
0x0040A92F     373  FUN_0040a92f
0x0040AAA4     157  FUN_0040aaa4
0x0040AB41     281  FUN_0040ab41
0x0040AC5A    1242  FUN_0040ac5a
0x0040BBB0      29  FUN_0040bbb0
0x0040BBE0      33  FUN_0040bbe0
0x0040BC10      33  FUN_0040bc10
